耐	智	力	兵
7	6	2	200
14	13	3	400
21	19	5	600
28	25	6	800
36	32	8	1000
43	38	9	1200
50	44	11	1400
57	51	13	1600
64	57	14	1800
71	63	16	2000
78	69	17	2200
85	76	19	2400
92	82	21	2600
99	88	22	2800
107	95	24	3000
114	101	25	3200
121	107	27	3400
128	114	28	3600
135	120	30	3800
142	126	32	4000
149	133	33	4200
156	139	35	4400
163	145	36	4600
171	152	38	4800
178	158	39	5000
185	164	41	5200
192	171	43	5400
199	177	44	5600
206	183	46	5800
213	189	47	6000
220	196	49	6200
227	202	51	6400
234	208	52	6600
242	215	54	6800
249	221	55	7000
256	227	57	7200
263	234	58	7400
270	240	60	7600
277	246	62	7800
284	253	63	8000
291	259	65	8200
298	265	66	8400
306	272	68	8600
313	278	69	8800
320	284	71	9000
327	291	73	9200
334	297	74	9400
341	303	76	9600
348	309	77	9800
355	316	79	10000
362	322	81	10200
369	328	82	10400
377	335	84	10600
384	341	85	10800
391	347	87	11000
398	354	88	11200
405	360	90	11400
412	366	92	11600
419	373	93	11800
426	379	95	12000
